Arrival,Depart
12:14:03,12:15:47 
12:15:56,12:16:28 
12:16:36,12:16:47 
12:16:54,12:17:18 
12:17:27,12:18:07 
12:18:52,12:19:14 
12:19:39,12:19:47 
12:20:48,12:21:00 
12:21:07,12:21:26 
12:22:11,12:22:23 
12:22:46,12:23:03 
12:23:27,12:23:50 
12:23:57,12:24:14 
12:25:44,12:25:50 
12:26:25,12:27:10 
12:27:19,12:27:31 
12:29:59,12:29:12 
12:29:41,12:29:56 
12:30:10,12:30:17 
12:30:36,12:30:52 
12:31:00,12:31:15 
12:31:24,12:31:42 
12:32:05,12:32:22 
12:33:37,12:34:31 
12:34:45,12:34:56 
12:35:04,12:36:12 
12:36:21,12:36:55 
12:38:28,12:38:29 
