Start:,Stop:
11:54:20,11:54:49
11:55:01,11:55:30
11:55:38,11:56:12
11:56:19,11:57:02
11:57:11,11:57:24
11:57:41,11:57:59
11:58:26,11:58:39
11:59:00,11:59:52
12:00:01,12:00:27
12:00:55,12:01:28
12:01:37,12:02:10
12:02:17,12:02:45
12:02:58,12:03:14
12:03:49,12:04:44
12:04:52,12:05:27
12:05:34,12:05:54
12:06:10,12:06:31
12:07:15,12:07:46
12:07:56,12:08:20
12:08:31,12:09:02
12:10:05,12:10:35
12:10:53,12:11:03
12:11:29,12:11:38
12:11:48,12:12:13
12:12:32,12:12:38
12:13:08,12:13:25
12:15:44,12:16:05
12:16:54,12:17:20
12:18:04,12:18:09
12:18:23,12:18:53
12:19:09,12:20:53
12:21:01,12:21:33
12:21:41,12:21:54
