Arrival,Depart
12:11:37,12:12:17
12:12:29,12:12:35
12:12:46,12:13:32
12:13:48,12:14:14
12:14:25,12:14:41
12:14:49,12:15:19
12:15:27,12:15:47
12:15:53,12:16:16
12:16:32,12:17:00
12:17:07,12:18:20
12:18:28,12:18:39
12:18:45,12:19:22
12:19:26,12:19:49
12:19:59,12:20:14
12:20:23,12:20:56
12:21:02,12:21:25
12:21:33,12:22:38
12:22:44,12:23:28
12:23:34,12:23:58
12:24:13,12:24:48
12:24:56,12:25:34
12:25:39,12:26:07
12:28:03,12:29:43
12:29:50,12:30:06
12:30:26,12:30:43
12:31:00,12:31:14
12:31:25,12:32:07
12:32:15,12:32:39
12:32:47,12:35:14
12:35:57,12:36:26
12:36:30,12:37:19
