Arrival,Depart
12:08:01,12:08:41
12:08:49,12:11:21
12:11:25,12:12:10
12:13:02,12:13:31
12:13:37,12:14:00
12:14:04,12:14:31
12:14:38,12:14:55
12:15:00,12:15:29
12:15:36,12:16:07
12:16:09,12:16:43
12:16:49,12:17:12
12:17:19,12:17:38
12:17:47,12:18:09
12:18:19,12:18:44
12:18:50,12:19:18
12:19:21,12:20:16
12:20:21,12:21:05
12:21:13,12:21:26
12:21:30,12:22:19
12:22:26,12:23:01
12:23:29,12:24:03
12:24:44,12:25:17
12:25:30,12:25:55
12:27:29,12:28:08
12:28:14,12:28:58
12:29:04,12:30:07
12:30:18,12:30:39
12:30:53,12:31:09
12:31:13,12:31:44
12:35:09,12:35:42
12:36:00,12:36:17
12:36:17,12:37:27
