hill_mannam_mitchell_ogletree_pettit_young_cheerala
arrival,departure,delta
12:12:48,12:13:44,00:00:56
12:13:51,12:14:28,00:00:37
12:14:35,12:15:10,00:00:35
12:16:37,12:17:08,00:00:31
12:17:11,12:17:44,00:00:33
12:17:50,12:19:06,00:01:16
12:19:11,12:19:51,00:00:40
12:19:59,12:20:15,00:00:16
12:21:07,12:21:29,00:00:22
12:22:35,12:23:14,00:00:39
12:23:30,12:24:11,00:00:41
12:24:24,12:24:41,00:00:17
12:24:52,12:25:22,00:00:30
12:25:30,12:25:56,00:00:26
12:26:04,12:26:20,00:00:16
12:27:21,12:27:32,00:00:11
12:27:42,12:28:00,00:00:18
12:28:04,12:28:49,00:00:45
12:34:58,12:35:24,00:00:26
12:35:27,12:36:04,00:00:37
12:36:14,12:36:29,00:00:15
12:36:36,12:37:05,00:00:29
12:37:47,12:38:29,00:00:42
12:38:45,12:38:56,00:00:11
12:39:41,12:40:52,00:01:11
12:40:57,12:41:48,00:00:51
12:41:53,12:42:24,00:00:31
12:42:32,12:42:57,00:00:25
12:43:21,12:43:53,00:00:32
12:44:05,12:44:42,00:00:37
12:44:46,12:45:39,00:00:53
12:45:41,12:46:06,00:00:25
12:46:11,12:46:43,00:00:32
11:32:45,11:33:49,00:01:04
11:34:09,11:34:40,00:00:31
11:34:48,11:35:25,00:00:37
11:35:40,11:36:29,00:00:49
11:36:36,11:37:13,00:00:37
11:38:05,11:38:37,00:00:32
11:38:44,11:39:17,00:00:33
11:42:04,11:42:55,00:00:51
11:43:01,11:43:31,00:00:30
11:43:27,11:46:05,00:02:38
11:46:12,11:46:54,00:00:42
11:46:52,11:48:12,00:01:20
11:49:30,11:50:19,00:00:49
11:50:15,11:51:01,00:00:46
11:50:57,11:51:14,00:00:17
11:51:34,11:51:39,00:00:05
11:52:00,11:52:08,00:00:08
11:52:30,11:53:17,00:00:47
11:53:47,11:54:04,00:00:17
11:13:33,11:14:06,00:00:33
11:14:13,11:14:50,00:00:37
11:14:57,11:15:15,00:00:18
11:15:19,11:15:34,00:00:15
11:15:39,11:16:52,00:01:13
11:17:06,11:17:33,00:00:27
11:17:52,11:18:15,00:00:23
11:18:18,11:18:55,00:00:37
11:19:12,11:19:22,00:00:10
11:19:26,11:19:48,00:00:22
11:19:58,11:21:01,00:01:03
11:21:05,11:21:21,00:00:16
11:21:52,11:22:22,00:00:30
11:22:22,11:22:46,00:00:24
11:22:51,11:23:11,00:00:20
11:23:14,11:24:56,00:01:42
11:25:00,11:25:26,00:00:26
11:25:38,11:26:18,00:00:40
11:26:24,11:26:33,00:00:09
11:27:08,11:27:28,00:00:20
11:27:35,11:28:10,00:00:35
12:29:30,12:30:10,00:00:40
12:31:50,12:32:44,00:00:54
12:32:56,12:33:57,00:01:01
12:35:00,12:35:18,00:00:18
12:36:06,12:37:48,00:01:42
12:38:25,12:38:50,00:00:25
12:39:38,12:40:27,00:00:49
12:41:20,12:41:40,00:00:20
12:42:40,12:43:10,00:00:30
12:45:46,12:46:02,00:00:16
12:46:11,12:46:48,00:00:37
12:47:52,12:48:20,00:00:28
12:50:00,12:50:50,00:00:50
12:51:00,12:52:17,00:01:17
12:52:26,12:53:24,00:00:58
12:53:30,12:54:35,00:01:05
12:54:40,12:55:21,00:00:41
12:56:33,12:56:58,00:00:25
12:58:05,12:58:38,00:00:33
12:58:55,12:59:32,00:00:37
12:27:02,12:27:06,00:00:04
12:27:41,12:27:55,00:00:14
12:28:05,12:28:21,00:00:16
12:28:28,12:28:42,00:00:14
12:30:04,12:30:21,00:00:17
12:30:44,12:31:18,00:00:34
12:31:27,12:31:44,00:00:17
12:35:38,12:35:53,00:00:15
12:36:03,12:36:20,00:00:17
12:36:28,12:37:51,00:01:23
12:37:51,12:38:14,00:00:23
12:38:29,12:38:32,00:00:03
12:39:16,12:39:32,00:00:16
12:40:16,12:40:36,00:00:20
12:42:51,12:43:20,00:00:29
12:43:30,12:44:02,00:00:32
12:44:14,12:44:20,00:00:06
12:44:21,12:44:26,00:00:05
12:44:35,12:44:42,00:00:07
12:45:18,12:45:22,00:00:04
12:45:30,12:46:07,00:00:37
12:46:18,12:46:50,00:00:32
12:46:58,12:47:13,00:00:15
12:47:20,12:47:35,00:00:15
12:47:56,12:48:21,00:00:25
12:49:41,12:49:56,00:00:15
12:50:07,12:50:24,00:00:17
12:50:53,12:51:52,00:00:59
12:52:04,12:52:55,00:00:51
12:53:05,12:53:25,00:00:20
12:54:21,12:54:54,00:00:33
12:55:06,12:55:49,00:00:43
12:55:59,12:56:21,00:00:22
12:56:28,12:56:44,00:00:16
12:08:01,12:08:41,00:00:40
12:08:49,12:11:21,00:02:32
12:11:25,12:12:10,00:00:45
12:13:02,12:13:31,00:00:29
12:13:37,12:14:00,00:00:23
12:14:04,12:14:31,00:00:27
12:14:38,12:14:55,00:00:17
12:15:00,12:15:29,00:00:29
12:15:36,12:16:07,00:00:31
12:16:09,12:16:43,00:00:34
12:16:49,12:17:12,00:00:23
12:17:19,12:17:38,00:00:19
12:17:47,12:18:09,00:00:22
12:18:19,12:18:44,00:00:25
12:18:50,12:19:18,00:00:28
12:19:21,12:20:16,00:00:55
12:20:21,12:21:05,00:00:44
12:21:13,12:21:26,00:00:13
12:21:30,12:22:19,00:00:49
12:22:26,12:23:01,00:00:35
12:23:29,12:24:03,00:00:34
12:24:44,12:25:17,00:00:33
12:25:30,12:25:55,00:00:25
12:27:29,12:28:08,00:00:39
12:28:14,12:28:58,00:00:44
12:29:04,12:30:07,00:01:03
12:30:18,12:30:39,00:00:21
12:30:53,12:31:09,00:00:16
12:31:13,12:31:44,00:00:31
12:35:09,12:35:42,00:00:33
12:36:00,12:36:17,00:00:17
12:36:17,12:37:27,00:01:10
11:50:56,11:51:53,00:00:57
11:51:28,11:52:55,00:01:27
11:52:22,11:53:32,00:01:10
11:52:38,11:53:59,00:01:21
11:53:35,11:55:01,00:01:26
11:53:58,11:55:51,00:01:53
11:55:23,11:56:40,00:01:17
11:56:47,11:57:47,00:01:00
11:57:11,12:00:10,00:02:59
11:57:40,12:00:26,00:02:46
11:58:04,12:01:20,00:03:16
11:59:51,12:01:55,00:02:04
12:00:37,12:02:20,00:01:43
12:01:42,12:04:06,00:02:24
12:02:16,12:04:58,00:02:42
12:02:42,12:07:24,00:04:42
12:03:27,12:07:54,00:04:27
12:04:20,12:08:07,00:03:47
12:05:13,12:08:50,00:03:37
12:07:47,12:09:15,00:01:28
12:08:18,12:09:50,00:01:32
12:08:52,12:11:45,00:02:53
12:09:24,12:12:20,00:02:56
12:10:00,12:13:36,00:03:36
12:10:42,12:14:12,00:03:30
