Pettit_Ogletree_Marcum_cheerala_hill
arrival,departure,delta
12:27:47,12:28:44,00:00:57
12:28:52,12:29:02,00:00:10
12:29:19,12:29:24,00:00:05
12:29:40,12:31:08,00:01:28
12:31:15,12:31:48,00:00:33
12:31:55,12:32:14,00:00:19
12:32:37,12:35:08,00:02:31
12:35:15,12:35:26,00:00:11
12:35:47,12:35:55,00:00:08
12:36:24,12:36:39,00:00:15
12:36:49,12:36:57,00:00:08
12:37:12,12:37:28,00:00:16
12:37:38,12:39:19,00:01:41
12:39:25,12:39:27,00:00:02
12:39:51,12:40:21,00:00:30
12:40:25,12:41:08,00:00:43
12:41:14,12:43:44,00:02:30
12:43:50,12:44:18,00:00:28
12:44:40,12:45:12,00:00:32
12:45:22,12:45:40,00:00:18
12:45:45,12:46:02,00:00:17
12:46:27,12:46:31,00:00:04
12:46:40,12:46:56,00:00:16
12:47:25,12:47:59,00:00:34
12:48:10,12:48:19,00:00:09
12:48:36,12:48:48,00:00:12
12:49:01,12:50:47,00:01:46
12:22:02,12:22:29,00:00:27
12:22:30,12:23:32,00:01:02
12:24:00,12:24:12,00:00:12
12:24:40,12:24:51,00:00:11
12:25:05,12:25:22,00:00:17
12:25:22,12:28:20,00:02:58
12:28:20,12:29:23,00:01:03
12:29:25,12:29:40,00:00:15
12:30:15,12:30:32,00:00:17
12:30:39,12:31:48,00:01:09
12:30:14,12:30:59,00:00:45
12:31:33,12:33:20,00:01:47
12:33:25,12:34:23,00:00:58
12:34:29,12:36:26,00:01:57
12:36:28,12:38:09,00:01:41
12:38:18,12:38:39,00:00:21
12:38:54,12:39:16,00:00:22
12:40:28,12:40:39,00:00:11
12:41:04,12:41:28,00:00:24
12:41:33,12:42:47,00:01:14
12:41:47,12:42:28,00:00:41
11:23:15,11:23:27,00:00:12
11:24:10,11:25:10,00:01:00
11:25:37,11:26:42,00:01:05
11:26:48,11:27:58,00:01:10
11:28:04,11:28:16,00:00:12
11:28:41,11:28:53,00:00:12
11:29:33,11:30:29,00:00:56
11:30:35,11:30:57,00:00:22
11:31:27,11:32:09,00:00:42
11:32:19,11:34:10,00:01:51
11:34:17,11:34:34,00:00:17
11:34:40,11:34:56,00:00:16
11:35:06,11:37:18,00:02:12
11:37:25,11:37:45,00:00:20
11:38:13,11:38:39,00:00:26
11:38:53,11:39:02,00:00:09
11:39:20,11:39:32,00:00:12
11:40:01,11:40:22,00:00:21
11:40:54,11:41:36,00:00:42
11:44:01,11:44:32,00:00:31
11:45:01,11:45:17,00:00:16
11:45:37,11:46:37,00:01:00
12:42:35,12:42:56,00:00:21
11:51:53,11:52:10,00:00:17
11:52:55,11:53:20,00:00:25
11:53:32,11:54:08,00:00:36
11:53:59,11:54:27,00:00:28
11:55:01,11:56:04,00:01:03
11:55:51,11:57:46,00:01:55
11:56:40,11:59:38,00:02:58
11:57:47,12:00:25,00:02:38
12:00:10,12:00:48,00:00:38
12:00:26,12:01:04,00:00:38
12:01:20,12:01:59,00:00:39
12:01:55,12:03:10,00:01:15
12:02:20,12:04:34,00:02:14
12:04:06,12:06:56,00:02:50
12:04:58,12:07:13,00:02:15
12:07:24,12:07:30,00:00:06
12:07:54,12:08:10,00:00:16
12:08:07,12:08:21,00:00:14
12:08:50,12:09:03,00:00:13
12:09:15,12:11:10,00:01:55
12:09:50,12:11:20,00:01:30
12:11:45,12:13:03,00:01:18
12:12:20,12:13:16,00:00:56
12:13:36,12:13:54,00:00:18
12:14:12,12:15:26,00:01:14
12:13:49,12:14:02,00:00:13
12:14:32,12:16:30,00:01:58
12:16:33,12:17:04,00:00:31
12:17:12,12:17:34,00:00:22
12:17:48,12:18:05,00:00:17
12:19:07,12:19:35,00:00:28
12:19:55,12:20:58,00:01:03
12:21:03,12:22:30,00:01:27
12:22:32,12:23:23,00:00:51
12:23:28,12:23:44,00:00:16
12:24:15,12:24:29,00:00:14
12:24:47,12:24:56,00:00:09
12:25:25,12:25:41,00:00:16
12:26:02,12:27:14,00:01:12
12:27:18,12:27:27,00:00:09
12:27:35,12:27:50,00:00:15
12:28:07,12:30:31,00:02:24
12:30:38,12:31:47,00:01:09
12:35:26,12:35:36,00:00:10
12:36:09,12:36:24,00:00:15
12:36:32,12:37:40,00:01:08
12:37:44,12:37:58,00:00:14
12:38:41,12:39:36,00:00:55
12:39:38,12:40:15,00:00:37
12:41:11,12:41:45,00:00:34
12:41:51,12:42:28,00:00:37
12:42:38,12:43:16,00:00:38
12:43:18,12:43:35,00:00:17
12:44:02,12:44:22,00:00:20
12:44:49,12:44:57,00:00:08
12:45:43,12:45:58,00:00:15
12:46:09,12:46:22,00:00:13
12:46:46,12:46:58,00:00:12
